sector,cname,bse_code
Financial Services -  NBFC  -  Small / Medium,F C G L Industries Limited,11744
Telecom -  Telecom Equipment,F C I Oen Connectors Limited,4250
Pharmaceuticals -  Bulk Drugs and Formulations,F D C Limited,531599
Steel -  Steel  -  Others,Facor Alloys Limited,532656
Steel -  Long Products,Facor Steels Limited,532657
Financial Services -  NBFC  -  Small / Medium,Fact Enterprise Limited,511668
Auto Ancillaries -  Transmission and Steering,Fact Enterprise Limited,520145
Tyres -  Tyres,Falcon Tyres Limited,509527
Media and Entertainment -  Media and Entertainment  -  Others,Fame India Limited,532631
Media and Entertainment -  Media and Entertainment  -  Others,Fame India Limited,31252
Media and Entertainment -  Media and Entertainment  -  Others,Fame India Limited,532084
Textile -  Textiles  -  Others,Faze Three Limited,530079
IT -  Software  -  Small/Medium,FCS Software Solutions Limited,532666
IT -  Software  -  Small/Medium,FCS Software Solutions Limited,500139
Banks -  PrivateBSE,Federal Bank Limited,500139
Personal Care -  Personal Care Products,Fem Care Pharma Limited,24608
Mining -  Mining  -  Others,Fem Care Pharma Limited,140
Steel -  Steel  -  Others,Fem Care Pharma Limited,500141
Plastic Processing -  Plastic processing  -  Others,Fem Care Pharma Limited,507910
Agro Inputs -  Nitrogenous/Phosphatic Fertilisers,Fem Care Pharma Limited,6443
Others -  Miscella  -  Others,Fics Consultancy Services Limited,508815
sector,cname,bse_code
Engineering -  Engineering  -  Others,E C E Industries Limited,532491
Diversified -  Large,E I D-Parry (India) Limited,500125
Diversified -  Large,E I D-Parry (India) Limited,523127
Engineering -  Light  -  General,E I D-Parry (India) Limited,22078
Others -  Trading,E L F Trading & Chemicals Manufacturing Limited,504387
Steel -  Steel  -  Others,E L Forge Limited,531144
Media and Entertainment -  Television Broadcasting,E L Forge Limited,32615
Financial Services -  NBFC  -  Small / Medium,E-Metals India Limited,31361
Plastic Processing -  Plastic processing  -  Others,E-Metals India Limited,14440
Plastic Processing -  Plastic processing  -  Others,E-Metals India Limited,531533
IT -  Software  -  Large,e.Star Infotech Limited,32417
Real Estate -  Real Estate,East Buldtech Limited,7917
Steel -  Steel  -  Others,East Buldtech Limited,520081
Steel -  Steel  -  Others,East Buldtech Limited,590080
Textile -  Textiles  -  Others,Eastern Silk Industries Limited,590022
Sugar -  Sugar,Eastern Sugar & Industries Limited,507528
Others -  Miscella  -  Others,Eastern Sugar & Industries Limited,531346
Chemicals - SpecialtyBSE,Eastman Chemical Co,531346
Chemicals - SpecialtyBSE,Eastman Chemical Co,532751
Financial Services -  NBFC  -  Small / Medium,Eastman Chemical Co,511074
Financial Services -  NBFC  -  Small / Medium,Eastman Chemical Co,5875
Dye Stuff -  Dye Stuff,Eastman Chemical Co,24568
Dye Stuff -  Dye Stuff,Eastman Chemical Co,532927
Diversified -  Small / Medium,Ecoboard Industries Limited,523732
Packaging -  Packaging,Ecoboard Industries Limited,526703
Financial Services -  Broking and Investment Management,Edelweiss Capital Limited,532922
Financial Services -  Broking and Investment Management,Edelweiss Capital Limited,533055
IT -  Education and Training,Edelweiss Capital Limited,532696
Chemicals - DiversifiedBSE,Edelweiss Capital Limited,532696
Automobiles -  LCVs/HCVs,Eicher Motors Limited,505200
Telecom -  Service Provider,Eicher Motors Limited,17352
